1;1;False;False
1;2;False;True
1;3;False;True
1;4;False;True
1;5;False;True
1;6;False;True
1;7;False;True
1;8;False;True
1;9;False;True
1;10;False;True
1;11;False;True
1;12;False;True
1;13;False;True
2;1;False;True
2;2;False;True
2;3;False;True
2;4;False;True
2;5;False;True
2;6;False;True
2;7;False;True
2;8;False;True
2;9;False;False
2;10;False;True
2;11;False;True
2;12;False;True
2;13;False;True
3;1;False;False
3;2;False;True
3;3;False;True
3;4;False;True
3;5;False;True
3;6;False;True
3;7;False;False
3;8;False;True
3;9;False;True
3;10;False;True
3;11;False;True
3;12;False;True
3;13;False;True
4;1;False;False
4;2;False;True
4;3;False;True
4;4;False;False
4;5;False;True
4;6;False;True
4;7;False;True
4;8;False;True
4;9;False;False
4;10;False;True
4;11;False;True
4;12;False;True
4;13;False;True
5;1;False;True
5;2;False;True
5;3;False;True
5;4;False;False
5;5;False;True
5;6;False;True
5;7;False;True
5;8;False;True
5;9;False;True
5;10;False;True
5;11;False;True
5;12;False;True
5;13;False;True
